,recall_mean,recall_std,precision_mean,precision_std,auc_mean
LogisticRegression,0.976923076923077,0.02005908432370047,0.20055366297862082,0.0035245838156506915,0.7973675416855391
RandomForest,0.9446153846153846,0.032417396162623825,0.2248872482571854,0.0017602165007351296,0.7861362941998936
XGBoost,0.8969230769230769,0.02777764628502738,0.24270485105418596,0.003751492788128449,0.78197453433448
