,recall_mean,recall_std,precision_mean,precision_std,auc_mean
LogisticRegression,0.9705521472392638,0.01055500032765969,0.2364359319974346,0.005858435701991594,0.8368116908458063
RandomForest,0.9570552147239264,0.013441044355955,0.24565687284738957,0.006452083299420628,0.8307092460619648
XGBoost,0.845398773006135,0.036274222083667415,0.3231280680324279,0.0158760622283595,0.8310395764877636
